@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.565242e+01,2.655156e-02,3.490754e+01,3.550331e+01,3.608766e+01,1.180119e+00,2.096175e+01,1.161531e+01,4.090512e+01,8.550192e+01,3.008984e-01,9.218032e-01,2.801151e-02,2.323714e-01,5.953850e-01,5.673735e-01,6.308093e+00,4.440052e+00,4.869065e+00,4.049556e+00,1.331075e-01,1.166813e+00,2.993604e+01,6.705627e-01,1.388558e+01,9.349574e-01,-1.493424e+00,-1.055647e+01,2.720119e+00,4.806459e+00,1.754445e-02,1.387802e+00,9.614305e-01,1.008923e+00,1.042839e+01,3.913781e-01,4.693340e+00,1.701610e+00,4.451618e+01,2.480638e-01,8.293438e+02,2.365791e-01,1.407525e+03,1.680012e-01,-1.049442e+02,-8.277907e-01,1.910591e+03,1.474884e-01,1.281515e+03,1.814925e-01,-1.127186e+02,-6.813280e-01,3.071763e+03,7.698675e-02,1.177412e+03,2.132583e-01,-1.203625e+02,-5.787387e-01,-2.552158e+01,-4.410422e-01,4.822785e+01,2.051792e-01,4.329916e-02,5.813986e-01,-1.524115e-02,-1.227338e+00,2.176906e-01,6.509153e-01,4.467670e+01,2.692152e-01,2.020508e+01,6.241114e-01,-4.731387e+00,-3.901726e+00,-2.068195e-01,-7.076227e+01,-7.268407e+00,1.601987e+01,2.330455e-02,2.298104e-02,8.863622e-03,2.919708e+00,7.407408e-01,7.600000e-01,5.535943e-01,5.700000e-01,7.495776e-01,-2.330095e+01,?
unknown,3.565242e+01,2.655156e-02,3.490754e+01,3.550331e+01,3.608766e+01,1.180119e+00,2.096175e+01,1.161531e+01,4.090512e+01,8.550192e+01,3.008984e-01,9.218032e-01,2.801151e-02,2.323714e-01,5.953850e-01,5.673735e-01,6.308093e+00,4.440052e+00,4.869065e+00,4.049556e+00,1.331075e-01,1.166813e+00,2.993604e+01,6.705627e-01,1.388558e+01,9.349574e-01,-1.493424e+00,-1.055647e+01,2.720119e+00,4.806459e+00,1.754445e-02,1.387802e+00,9.614305e-01,1.008923e+00,1.042839e+01,3.913781e-01,4.693340e+00,1.701610e+00,4.451618e+01,2.480638e-01,8.293438e+02,2.365791e-01,1.407525e+03,1.680012e-01,-1.049442e+02,-8.277907e-01,1.910591e+03,1.474884e-01,1.281515e+03,1.814925e-01,-1.127186e+02,-6.813280e-01,3.071763e+03,7.698675e-02,1.177412e+03,2.132583e-01,-1.203625e+02,-5.787387e-01,-2.552158e+01,-4.410422e-01,4.822785e+01,2.051792e-01,4.329916e-02,5.813986e-01,-1.524115e-02,-1.227338e+00,2.176906e-01,6.509153e-01,4.467670e+01,2.692152e-01,2.020508e+01,6.241114e-01,-4.731387e+00,-3.901726e+00,-2.068195e-01,-7.076227e+01,-7.268407e+00,1.601987e+01,2.330455e-02,2.298104e-02,8.863622e-03,2.919708e+00,7.407408e-01,7.600000e-01,5.535943e-01,5.700000e-01,7.495776e-01,-2.330095e+01,?
