@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.561981e+01,1.381847e-01,3.635187e+01,3.671370e+01,3.701828e+01,6.664047e-01,1.657811e+02,1.139907e+02,3.328311e+00,0.000000e+00,2.079995e-01,9.414313e-01,4.695144e-02,1.217569e-01,4.057968e-01,3.588453e-01,3.750212e+00,2.413828e+00,2.529288e+00,3.205619e+00,5.797802e-02,1.471622e+00,1.739924e+01,9.418184e-01,7.628985e+00,1.793577e+00,7.263875e+00,1.496837e+00,1.137014e+01,1.240942e+00,1.631242e-02,1.295478e+00,8.912001e-01,1.150462e+00,1.109683e+01,4.352826e-01,6.902777e+00,1.506740e+00,3.089729e+01,4.239928e-01,8.598945e+02,1.297662e-01,1.400337e+03,2.163293e-01,-1.519541e+02,-4.944578e-01,1.883013e+03,7.005589e-02,9.279379e+02,2.862456e-01,-1.503015e+02,-4.981491e-01,3.048744e+03,5.989749e-02,9.241495e+02,2.196195e-01,-1.554457e+02,-4.334353e-01,-2.473568e+01,-2.887136e-01,3.253733e+01,2.556414e-01,3.328290e-02,9.814312e-01,-1.232682e-02,-1.293990e+00,1.098427e-01,1.005942e+00,3.294444e+01,4.845659e-01,1.686685e+01,8.153973e-01,1.182936e+01,9.083897e-01,1.610560e+01,9.137985e-01,-6.105189e+00,1.375464e+01,-4.916159e-03,1.279470e-02,3.628907e-02,2.654867e+00,1.121076e+00,2.620000e-01,2.901310e-01,6.100000e-01,1.076476e+00,-2.597181e+01,?
unknown,3.561981e+01,1.381847e-01,3.635187e+01,3.671370e+01,3.701828e+01,6.664047e-01,1.657811e+02,1.139907e+02,3.328311e+00,0.000000e+00,2.079995e-01,9.414313e-01,4.695144e-02,1.217569e-01,4.057968e-01,3.588453e-01,3.750212e+00,2.413828e+00,2.529288e+00,3.205619e+00,5.797802e-02,1.471622e+00,1.739924e+01,9.418184e-01,7.628985e+00,1.793577e+00,7.263875e+00,1.496837e+00,1.137014e+01,1.240942e+00,1.631242e-02,1.295478e+00,8.912001e-01,1.150462e+00,1.109683e+01,4.352826e-01,6.902777e+00,1.506740e+00,3.089729e+01,4.239928e-01,8.598945e+02,1.297662e-01,1.400337e+03,2.163293e-01,-1.519541e+02,-4.944578e-01,1.883013e+03,7.005589e-02,9.279379e+02,2.862456e-01,-1.503015e+02,-4.981491e-01,3.048744e+03,5.989749e-02,9.241495e+02,2.196195e-01,-1.554457e+02,-4.334353e-01,-2.473568e+01,-2.887136e-01,3.253733e+01,2.556414e-01,3.328290e-02,9.814312e-01,-1.232682e-02,-1.293990e+00,1.098427e-01,1.005942e+00,3.294444e+01,4.845659e-01,1.686685e+01,8.153973e-01,1.182936e+01,9.083897e-01,1.610560e+01,9.137985e-01,-6.105189e+00,1.375464e+01,-4.916159e-03,1.279470e-02,3.628907e-02,2.654867e+00,1.121076e+00,2.620000e-01,2.901310e-01,6.100000e-01,1.076476e+00,-2.597181e+01,?
