@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.520493e+01,1.199736e-01,3.498172e+01,3.592317e+01,3.713565e+01,2.153934e+00,2.526955e+01,2.431916e+01,-2.589780e+01,3.792674e+01,3.906236e-01,5.631025e-01,1.691121e-01,3.814373e-01,5.788531e-01,4.097410e-01,6.210517e+00,4.016551e+00,4.637885e+00,2.396338e+00,2.310939e-01,7.431127e-01,3.240802e+01,5.298380e-01,2.399129e+01,6.757253e-01,1.198924e+01,1.334511e+00,2.407053e+00,5.987255e+00,2.161099e-02,1.148209e+00,1.168441e+00,8.413801e-01,9.848437e+00,4.148598e-01,1.094043e+01,9.038795e-01,3.979501e+01,3.069951e-01,8.253026e+02,2.114451e-01,1.405337e+03,1.700101e-01,-7.701667e+01,-9.501265e-01,1.961435e+03,9.579123e-02,1.095181e+03,2.475443e-01,-8.564409e+01,-7.414708e-01,3.079093e+03,6.804187e-02,1.099808e+03,2.677104e-01,-9.077013e+01,-6.700933e-01,-2.995934e+01,-3.079808e-01,4.044109e+01,2.742594e-01,3.522909e-02,8.939417e-01,-2.771019e-02,-5.151671e-01,2.764609e-01,6.006443e-01,3.756394e+01,3.802187e-01,2.717138e+01,4.901295e-01,1.005785e+01,1.702677e+00,1.117585e+00,1.268317e+01,-1.451847e+01,2.018995e+01,-5.125584e-03,-1.343387e-02,1.155144e-01,5.835544e+00,3.225806e+00,2.191667e-01,2.257380e-01,1.114286e-01,1.116664e-01,-2.226326e+01,?
unknown,3.520493e+01,1.199736e-01,3.498172e+01,3.592317e+01,3.713565e+01,2.153934e+00,2.526955e+01,2.431916e+01,-2.589780e+01,3.792674e+01,3.906236e-01,5.631025e-01,1.691121e-01,3.814373e-01,5.788531e-01,4.097410e-01,6.210517e+00,4.016551e+00,4.637885e+00,2.396338e+00,2.310939e-01,7.431127e-01,3.240802e+01,5.298380e-01,2.399129e+01,6.757253e-01,1.198924e+01,1.334511e+00,2.407053e+00,5.987255e+00,2.161099e-02,1.148209e+00,1.168441e+00,8.413801e-01,9.848437e+00,4.148598e-01,1.094043e+01,9.038795e-01,3.979501e+01,3.069951e-01,8.253026e+02,2.114451e-01,1.405337e+03,1.700101e-01,-7.701667e+01,-9.501265e-01,1.961435e+03,9.579123e-02,1.095181e+03,2.475443e-01,-8.564409e+01,-7.414708e-01,3.079093e+03,6.804187e-02,1.099808e+03,2.677104e-01,-9.077013e+01,-6.700933e-01,-2.995934e+01,-3.079808e-01,4.044109e+01,2.742594e-01,3.522909e-02,8.939417e-01,-2.771019e-02,-5.151671e-01,2.764609e-01,6.006443e-01,3.756394e+01,3.802187e-01,2.717138e+01,4.901295e-01,1.005785e+01,1.702677e+00,1.117585e+00,1.268317e+01,-1.451847e+01,2.018995e+01,-5.125584e-03,-1.343387e-02,1.155144e-01,5.835544e+00,3.225806e+00,2.191667e-01,2.257380e-01,1.114286e-01,1.116664e-01,-2.226326e+01,?
