@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.546679e+01,5.781182e-02,3.485882e+01,3.522056e+01,3.575213e+01,8.933105e-01,7.201008e+01,9.598923e+01,7.023042e+01,9.918519e+01,3.263990e-01,6.828452e-01,8.962373e-02,2.960467e-01,5.607209e-01,4.710972e-01,5.959948e+00,1.909840e+00,4.953259e+00,2.537500e+00,1.704891e-01,9.784592e-01,2.928438e+01,6.044570e-01,2.291083e+01,9.269277e-01,2.988071e+00,6.311818e+00,9.811173e+00,1.489771e+00,2.119000e-02,1.904732e+00,9.872345e-01,7.910577e-01,9.569432e+00,4.340834e-01,9.168300e+00,1.235625e+00,3.895782e+01,4.241724e-01,7.772437e+02,2.720911e-01,1.401904e+03,1.510587e-01,-7.827174e+01,-9.282126e-01,1.873561e+03,1.182759e-01,1.116775e+03,2.976680e-01,-8.350032e+01,-7.790653e-01,3.025946e+03,7.354716e-02,1.100930e+03,2.284822e-01,-9.204820e+01,-6.533766e-01,-2.752069e+01,-3.843063e-01,4.071203e+01,3.381037e-01,3.526295e-02,8.870921e-01,-1.743171e-02,-1.007913e+00,2.151190e-01,7.979097e-01,3.430255e+01,5.089572e-01,2.810630e+01,5.009752e-01,7.932745e+00,2.289494e+00,6.701324e+00,2.075092e+00,-7.152812e+00,1.753148e+01,3.429836e-02,9.574593e-03,5.600733e-02,4.788733e+00,3.142857e+00,2.254545e-01,1.441819e-01,1.085714e-01,1.848883e-01,-2.435061e+01,?
unknown,3.546679e+01,5.781182e-02,3.485882e+01,3.522056e+01,3.575213e+01,8.933105e-01,7.201008e+01,9.598923e+01,7.023042e+01,9.918519e+01,3.263990e-01,6.828452e-01,8.962373e-02,2.960467e-01,5.607209e-01,4.710972e-01,5.959948e+00,1.909840e+00,4.953259e+00,2.537500e+00,1.704891e-01,9.784592e-01,2.928438e+01,6.044570e-01,2.291083e+01,9.269277e-01,2.988071e+00,6.311818e+00,9.811173e+00,1.489771e+00,2.119000e-02,1.904732e+00,9.872345e-01,7.910577e-01,9.569432e+00,4.340834e-01,9.168300e+00,1.235625e+00,3.895782e+01,4.241724e-01,7.772437e+02,2.720911e-01,1.401904e+03,1.510587e-01,-7.827174e+01,-9.282126e-01,1.873561e+03,1.182759e-01,1.116775e+03,2.976680e-01,-8.350032e+01,-7.790653e-01,3.025946e+03,7.354716e-02,1.100930e+03,2.284822e-01,-9.204820e+01,-6.533766e-01,-2.752069e+01,-3.843063e-01,4.071203e+01,3.381037e-01,3.526295e-02,8.870921e-01,-1.743171e-02,-1.007913e+00,2.151190e-01,7.979097e-01,3.430255e+01,5.089572e-01,2.810630e+01,5.009752e-01,7.932745e+00,2.289494e+00,6.701324e+00,2.075092e+00,-7.152812e+00,1.753148e+01,3.429836e-02,9.574593e-03,5.600733e-02,4.788733e+00,3.142857e+00,2.254545e-01,1.441819e-01,1.085714e-01,1.848883e-01,-2.435061e+01,?
