F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,segment_id,file_id
31.04432,0.09899965,29.16481,31.09191,33.51876,4.353954,208.2322,247.8557,45.83458,71.5956,0.3268057,0.6007026,0.1190695,0.3328584,0.5238246,0.4047551,4.808234,2.064435,3.459162,2.142989,0.21583,0.9381845,33.57319,0.5350996,26.02385,0.7814899,15.32584,0.9840355,0.1699416,70.06617,0.02619871,2.061939,1.165299,0.6705748,8.530614,0.2862742,10.25203,1.049661,47.17663,0.243226,646.5172,0.2725434,1434.557,0.147397,-96.15798,-0.8984221,1877.841,0.09671175,1256.163,0.2349123,-111.2843,-0.642647,2959.427,0.0739373,1206.657,0.2193753,-112.9893,-0.6224308,-33.2529,-0.2374719,44.36221,0.2435132,0.03794844,0.4561372,-0.03406874,-0.6402001,0.2967747,0.6274924,41.71496,0.3503236,34.85061,0.2841278,21.02593,0.597621,0.6060259,19.3308,-12.47703,21.93671,0.04860499,-0.008742441,0.09782667,4.265403,1.682692,0.3457143,0.2742187,0.2633333,0.2048305,-23.36613,020_2025.03.11_segment_0014,020_2025.03.11
32.7736,0.1092368,30.62403,32.58199,33.73759,3.113565,92.39222,59.16062,141.297,181.2543,0.1255363,1.288366,0.04346883,0.05880836,0.134945,0.09147619,7.117452,3.693792,0.2535698,2.32174,0.05944627,2.215832,20.68802,0.6469704,13.89228,0.779805,8.356956,1.500963,2.178957,5.226898,0.02139035,1.325771,1.309361,0.8167289,9.187741,0.2832488,5.433621,1.302408,37.47277,0.497348,816.9324,0.2697724,1479.231,0.167404,-169.0044,-0.3876613,1965.912,0.1139772,1263.928,0.2460302,-170.3434,-0.3487665,3035.037,0.07356355,1160.799,0.2359,-170.8252,-0.3423179,-29.08869,-0.407168,42.52064,0.2978465,0.02641395,0.8851367,-0.02374239,-0.9743665,0.2244186,0.9742243,40.9672,0.2627242,23.58137,0.6416172,16.50177,0.958442,0.2310892,63.29937,-11.5413,19.43106,0.02531384,0.00709714,0.01502901,1.091703,1.327434,0.1416667,0.1384939,0.8875,0.6161321,-28.16572,020_2025.03.11_segment_0000,020_2025.03.11
31.23436,0.1659628,29.40981,30.37387,32.44169,3.031874,138.4744,59.02428,134.5391,158.1968,0.3435872,0.7474437,0.08633145,0.3004422,0.5605583,0.4742268,5.542753,2.380919,4.174792,2.144764,0.2228439,0.9504347,24.14211,1.042316,24.99884,0.7361138,16.34517,1.13748,2.759272,5.340661,0.04989082,1.413141,1.60604,0.767105,7.425347,0.4545939,9.434055,1.124465,41.18255,0.4710535,698.3827,0.2964196,1388.411,0.1903904,-106.3861,-0.7904465,1854.95,0.112465,1156.321,0.2320579,-115.924,-0.6286251,2975.868,0.07757006,1087.036,0.2241022,-118.5916,-0.5972403,-29.29547,-0.4109595,40.76546,0.3627259,0.02846209,1.043218,-0.03009348,-0.7230117,0.297082,0.7373228,36.21657,0.5103507,32.29931,0.3705289,16.08161,0.9770806,3.374226,5.371033,-7.958259,16.28533,0.03905628,-0.002051929,0.1414936,3.89016,3.240741,0.1585714,0.1268777,0.13,0.1431782,-24.47318,020_2025.03.11_segment_0028,020_2025.03.11
31.47792,0.3334904,27.67353,29.23094,31.10076,3.427227,663.4028,585.1486,144.3371,115.838,0.361575,0.6804628,0.1363102,0.3263266,0.5769177,0.4406075,3.573182,2.471677,4.216837,2.867037,0.2748488,0.8319092,23.34296,1.208437,28.47643,0.4552423,18.79244,1.064937,6.569079,1.775151,0.02964056,0.6477996,1.584977,0.7163757,5.750593,0.6531898,-0.6886218,-17.36192,26.70201,0.9688975,710.8834,0.2639091,1253.326,0.3262373,-143.2465,-0.5547983,1879.901,0.1099264,1215.056,0.3596004,-141.8923,-0.5353304,2897.219,0.09619723,1051.564,0.220183,-141.1403,-0.5428304,-21.50705,-0.8974037,29.30092,0.7500218,0.02154667,0.9690689,-0.02744583,-0.8804267,0.3198358,0.5960492,31.1513,0.9271374,24.35374,0.4907126,29.72658,0.6797776,4.382307,3.316698,-17.03055,23.54181,0.02448186,-0.02126741,0.2594386,4.247104,3.149606,0.1075,0.1146462,0.298,0.3596331,-25.19448,020_2025.03.11_segment_0202,020_2025.03.11
31.35477,0.09774341,29.64452,30.392,32.01718,2.372662,141.4268,160.2135,86.32321,102.947,0.4165884,0.6187655,0.1579338,0.3962785,0.6414161,0.4834822,9.013109,5.263885,7.521598,4.416939,0.264166,0.8895776,31.44071,0.7019367,22.40137,0.735313,5.177278,3.996357,-0.8653158,-14.43838,0.01816999,1.028663,1.352816,0.8914396,8.098948,0.4423308,2.974721,3.444493,41.389,0.2531238,608.6909,0.2161422,1425.911,0.1407658,-116.1405,-0.7644323,1763.309,0.1409614,1235.06,0.2696915,-126.2203,-0.6058642,2854.674,0.09239364,1182.066,0.2404428,-129.5008,-0.5619187,-28.03547,-0.3045109,39.8137,0.2571381,0.04977362,0.3725925,-0.03493806,-0.4365345,0.3246075,0.7069442,43.61065,0.2857202,27.23461,0.3420477,7.770134,2.096794,0.6047137,20.0422,-11.56434,24.71552,0.03450495,-0.008982047,0.2093657,5.936073,2.784223,0.1566667,0.152279,0.1963636,0.2187681,-23.51081,020_2025.03.11_segment_0200,020_2025.03.11
31.72612,0.1719641,28.79673,32.14233,34.85445,6.057713,207.9227,182.9664,33.60638,21.3749,0.3571889,0.6639542,0.1229605,0.3184499,0.584902,0.4619416,5.416286,2.710184,4.384759,2.147457,0.2384802,0.8700491,30.01164,0.6412765,26.03281,0.7652109,13.65482,1.223709,4.665213,2.588317,0.02984448,1.052737,1.374012,0.7947729,7.600976,0.3988068,12.95885,1.442104,41.60741,0.464945,677.8336,0.3245977,1369.885,0.1775829,-99.62312,-0.8470206,1831.342,0.1233298,1178.818,0.2550879,-110.6975,-0.6457197,2943.538,0.08166686,1082.534,0.2707095,-112.3129,-0.6241103,-28.71651,-0.4176797,40.28811,0.3484942,0.03509958,0.6308215,-0.024965,-0.7102867,0.3308715,0.5987501,37.28292,0.4811174,32.03953,0.4186707,16.21224,0.985891,2.449063,5.212587,-14.53981,23.99751,0.01993763,-0.006276587,0.1162029,4.279279,3.416857,0.162,0.1898491,0.1178571,0.1444783,-23.81798,020_2025.03.11_segment_0016,020_2025.03.11
30.53894,0.2183688,28.7187,30.74228,32.55029,3.831581,297.5434,165.069,63.66092,252.9538,0.3113273,0.8441862,0.05901849,0.2238514,0.6013778,0.5423593,5.907491,3.756395,3.5284,2.702144,0.1905628,1.091765,30.78523,0.5705134,21.99726,0.6802549,11.52613,1.211301,1.220481,10.04769,0.03748718,2.044683,1.302021,0.7538748,7.497242,0.4668457,4.308959,1.875945,38.06689,0.4811147,662.3743,0.2410004,1424.966,0.174022,-111.1424,-0.7821453,1831.915,0.1125254,1198.011,0.2249591,-120.6641,-0.6258458,2896.343,0.07359959,1055.83,0.2614399,-122.1498,-0.6092011,-28.02023,-0.4013903,39.97279,0.3590425,0.03667631,0.6522121,-0.0340863,-0.4931592,0.2912639,0.7131091,40.50995,0.3927304,27.94483,0.4242838,13.86827,1.003283,-2.567399,-3.951226,-14.76272,24.14165,0.01500284,-0.0008063468,0.09453148,3.49345,3.325943,0.1406667,0.148704,0.16,0.2240879,-24.11448,020_2025.03.11_segment_0002,020_2025.03.11
30.2822,0.1254272,29.07615,30.30596,31.3634,2.287249,117.5165,75.65775,63.84983,82.15025,0.3912071,0.6496285,0.1366509,0.392547,0.6450742,0.5084233,6.013546,3.581607,4.952446,2.839053,0.2394038,0.9417687,32.80627,0.4783165,22.14936,0.978526,3.537578,4.529755,0.8453348,15.42857,0.02977944,1.962467,1.270313,1.066176,8.311197,0.3715755,4.570046,2.046451,44.20807,0.2503097,683.5772,0.234152,1415.632,0.1235697,-110.4734,-0.7952614,1893.777,0.09157906,1253.124,0.2575216,-123.7402,-0.5944735,2953.877,0.07457978,1151.745,0.2332157,-125.0404,-0.5802911,-31.0512,-0.2381538,42.60685,0.2543465,0.04297864,0.6052817,-0.04201689,-0.4365177,0.3192091,0.6631852,41.22042,0.3354605,35.24652,0.2999901,11.23936,1.261716,-1.272121,-11.04875,-11.58033,26.28671,0.04084318,0.0001048948,0.1517733,4.148472,2.207506,0.219,0.2668127,0.213,0.2438052,-22.53191,020_2025.03.11_segment_0189,020_2025.03.11
22.96783,0.5936421,13.83062,14.31656,44.14715,30.31653,3.512728,0.0,102.4098,0.0,0.0758578,0.6026078,0.0446319,0.05747042,0.09827968,0.05364778,1.490975,0.9620491,0.5661246,0.3880494,0.02383244,1.384085,16.9162,0.5009508,16.2458,0.4501794,14.00368,0.7752009,7.152024,1.532204,0.03856537,0.7177421,1.700253,0.6197253,3.272016,1.806808,13.47171,1.06026,29.95936,0.343142,838.4118,0.2781593,1403.969,0.1662075,-170.0282,-0.3561274,1891.77,0.1221145,1124.666,0.2706592,-168.3224,-0.3606302,2975.053,0.09106292,1028.388,0.208302,-168.8013,-0.3534988,-23.58756,-0.4289777,32.39122,0.3804469,-0.01717694,-3.146697,0.006812154,1.144873,0.05394879,0.9668534,22.68791,0.4658611,19.72326,0.3852435,17.51691,0.5192336,11.82085,0.953997,-13.80752,21.3331,0.008783219,0.005548267,0.0165076,2.444988,2.475248,0.07099999,0.06549045,0.2836364,0.2682018,-45.04672,020_2025.03.11_segment_0162,020_2025.03.11
29.30138,0.1482572,28.1599,31.03717,32.28659,4.126686,249.9024,115.4106,210.4678,190.3188,0.3427405,0.5514517,0.1833112,0.3073974,0.5323824,0.3490712,4.23299,2.675647,4.469466,3.067187,0.2872092,0.8437065,33.69811,0.5226452,29.47439,0.6257423,17.0649,0.6681349,4.212673,3.266815,0.09820957,1.666677,1.404636,0.7777316,7.150745,0.4490792,8.744116,0.6736372,50.11146,0.2341516,647.0856,0.3357166,1515.906,0.1494583,-115.9862,-0.7493039,1840.412,0.1278081,1384.025,0.1950127,-128.9137,-0.5605575,2936.167,0.07652621,1266.855,0.2229405,-130.4261,-0.5419388,-34.91895,-0.2223868,47.94747,0.2029616,0.03313488,0.638404,-0.03195383,-0.5795096,0.3803283,0.6041983,45.05504,0.2227041,34.41009,0.2845322,19.19538,0.5759014,1.000182,11.95446,-19.5401,25.99037,0.04001566,-0.01669112,0.2108785,4.833837,1.840491,0.2566667,0.1647894,0.2633333,0.1742285,-23.02688,020_2025.03.11_segment_0176,020_2025.03.11
