@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.648794e+01,7.333483e-02,3.488304e+01,3.549453e+01,3.821278e+01,3.329739e+00,1.931446e+02,2.437377e+02,1.508956e+01,1.669437e+01,4.740345e-01,5.954487e-01,1.960661e-01,4.680067e-01,7.416317e-01,5.455657e-01,7.386892e+00,3.836735e+00,6.171800e+00,3.406413e+00,2.397580e-01,8.187912e-01,3.671807e+01,4.448167e-01,8.962903e+00,2.163140e+00,-3.311390e+00,-5.076449e+00,-2.991287e+00,-6.140401e+00,2.081791e-02,1.510957e+00,9.777539e-01,7.596167e-01,1.009992e+01,3.853147e-01,5.166192e+00,1.686541e+00,3.784309e+01,3.691002e-01,8.218212e+02,1.942281e-01,1.304744e+03,1.774828e-01,-7.360674e+01,-1.065169e+00,1.893184e+03,1.051109e-01,1.093185e+03,2.290982e-01,-8.261306e+01,-8.457243e-01,3.034312e+03,5.769868e-02,1.003180e+03,2.621881e-01,-9.189446e+01,-6.993927e-01,-2.357845e+01,-3.985423e-01,3.897834e+01,3.115183e-01,5.251767e-02,4.793206e-01,-2.762553e-02,-6.456799e-01,2.831933e-01,6.772079e-01,4.190895e+01,3.158230e-01,1.286878e+01,1.255170e+00,-2.959285e+00,-5.763126e+00,-5.075147e+00,-3.519610e+00,-7.516409e+00,1.906947e+01,5.107099e-02,-9.117365e-03,1.388812e-01,5.338809e+00,2.904564e+00,2.371428e-01,2.351725e-01,1.081818e-01,1.239368e-01,-2.253069e+01,?
unknown,3.648794e+01,7.333483e-02,3.488304e+01,3.549453e+01,3.821278e+01,3.329739e+00,1.931446e+02,2.437377e+02,1.508956e+01,1.669437e+01,4.740345e-01,5.954487e-01,1.960661e-01,4.680067e-01,7.416317e-01,5.455657e-01,7.386892e+00,3.836735e+00,6.171800e+00,3.406413e+00,2.397580e-01,8.187912e-01,3.671807e+01,4.448167e-01,8.962903e+00,2.163140e+00,-3.311390e+00,-5.076449e+00,-2.991287e+00,-6.140401e+00,2.081791e-02,1.510957e+00,9.777539e-01,7.596167e-01,1.009992e+01,3.853147e-01,5.166192e+00,1.686541e+00,3.784309e+01,3.691002e-01,8.218212e+02,1.942281e-01,1.304744e+03,1.774828e-01,-7.360674e+01,-1.065169e+00,1.893184e+03,1.051109e-01,1.093185e+03,2.290982e-01,-8.261306e+01,-8.457243e-01,3.034312e+03,5.769868e-02,1.003180e+03,2.621881e-01,-9.189446e+01,-6.993927e-01,-2.357845e+01,-3.985423e-01,3.897834e+01,3.115183e-01,5.251767e-02,4.793206e-01,-2.762553e-02,-6.456799e-01,2.831933e-01,6.772079e-01,4.190895e+01,3.158230e-01,1.286878e+01,1.255170e+00,-2.959285e+00,-5.763126e+00,-5.075147e+00,-3.519610e+00,-7.516409e+00,1.906947e+01,5.107099e-02,-9.117365e-03,1.388812e-01,5.338809e+00,2.904564e+00,2.371428e-01,2.351725e-01,1.081818e-01,1.239368e-01,-2.253069e+01,?
