@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.658825e+01,4.779188e-02,3.528286e+01,3.580746e+01,3.795708e+01,2.674225e+00,6.243379e+01,5.920587e+01,1.475118e+01,2.268212e+01,3.140644e-01,8.540781e-01,8.681420e-02,2.399768e-01,4.751109e-01,3.882967e-01,4.225112e+00,3.936041e+00,3.137960e+00,2.515179e+00,1.266329e-01,1.105343e+00,2.595162e+01,6.649923e-01,1.838849e+00,1.079084e+01,-3.940198e+00,-5.074680e+00,1.129610e+01,1.208995e+00,2.914620e-02,1.177975e+00,1.181957e+00,7.471964e-01,8.882008e+00,5.223487e-01,2.601391e+00,3.813823e+00,2.718583e+01,5.288652e-01,8.840074e+02,1.519838e-01,1.263660e+03,1.398913e-01,-1.123724e+02,-7.836782e-01,1.883078e+03,1.069572e-01,1.062794e+03,2.255181e-01,-1.166127e+02,-7.088633e-01,3.015819e+03,8.268505e-02,9.601461e+02,2.342912e-01,-1.238599e+02,-6.079721e-01,-1.993083e+01,-6.500336e-01,3.532629e+01,3.734176e-01,3.893272e-02,6.546575e-01,-1.110753e-02,-2.013356e+00,2.006845e-01,7.688099e-01,3.713835e+01,3.302767e-01,6.285701e+00,3.389152e+00,-3.096386e+00,-5.894108e+00,1.085769e+01,1.457598e+00,-4.629435e+00,1.344404e+01,2.605329e-02,6.140504e-03,5.130879e-02,3.194103e+00,1.496259e+00,3.266667e-01,2.139834e-01,3.880000e-01,4.297627e-01,-2.578592e+01,?
unknown,3.658825e+01,4.779188e-02,3.528286e+01,3.580746e+01,3.795708e+01,2.674225e+00,6.243379e+01,5.920587e+01,1.475118e+01,2.268212e+01,3.140644e-01,8.540781e-01,8.681420e-02,2.399768e-01,4.751109e-01,3.882967e-01,4.225112e+00,3.936041e+00,3.137960e+00,2.515179e+00,1.266329e-01,1.105343e+00,2.595162e+01,6.649923e-01,1.838849e+00,1.079084e+01,-3.940198e+00,-5.074680e+00,1.129610e+01,1.208995e+00,2.914620e-02,1.177975e+00,1.181957e+00,7.471964e-01,8.882008e+00,5.223487e-01,2.601391e+00,3.813823e+00,2.718583e+01,5.288652e-01,8.840074e+02,1.519838e-01,1.263660e+03,1.398913e-01,-1.123724e+02,-7.836782e-01,1.883078e+03,1.069572e-01,1.062794e+03,2.255181e-01,-1.166127e+02,-7.088633e-01,3.015819e+03,8.268505e-02,9.601461e+02,2.342912e-01,-1.238599e+02,-6.079721e-01,-1.993083e+01,-6.500336e-01,3.532629e+01,3.734176e-01,3.893272e-02,6.546575e-01,-1.110753e-02,-2.013356e+00,2.006845e-01,7.688099e-01,3.713835e+01,3.302767e-01,6.285701e+00,3.389152e+00,-3.096386e+00,-5.894108e+00,1.085769e+01,1.457598e+00,-4.629435e+00,1.344404e+01,2.605329e-02,6.140504e-03,5.130879e-02,3.194103e+00,1.496259e+00,3.266667e-01,2.139834e-01,3.880000e-01,4.297627e-01,-2.578592e+01,?
