@relation openSMILE_features

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute class numeric

@data

unknown,3.891692e+01,9.062687e-02,3.571371e+01,3.885546e+01,4.058233e+01,4.868626e+00,2.076788e+01,7.346420e+00,1.430969e+01,6.712193e+00,2.743340e-01,5.653750e-01,1.239986e-01,2.612340e-01,3.983672e-01,2.743686e-01,3.022371e+00,2.374157e+00,2.390048e+00,1.517721e+00,1.394069e-01,7.442905e-01,3.057223e+01,5.142334e-01,2.627955e+01,5.452955e-01,7.372577e+00,2.164008e+00,-1.343545e+01,-1.560700e+00,1.869176e-02,8.286765e-01,1.070724e+00,5.698751e-01,1.100331e+01,2.742852e-01,1.994378e+01,6.738850e-01,3.719005e+01,4.138561e-01,8.034468e+02,1.849798e-01,1.320427e+03,1.714652e-01,-4.920241e+01,-1.059082e+00,1.991279e+03,8.782261e-02,1.049706e+03,3.684206e-01,-6.383861e+01,-6.890657e-01,3.053021e+03,5.537722e-02,1.003032e+03,3.024448e-01,-6.439186e+01,-6.923938e-01,-2.845576e+01,-3.513747e-01,3.829877e+01,3.508565e-01,6.925577e-02,3.826771e-01,-2.566041e-02,-4.811783e-01,1.552325e-01,6.478899e-01,3.267436e+01,4.562056e-01,2.592533e+01,5.537186e-01,7.957588e+00,2.031064e+00,-1.602839e+01,-1.296634e+00,-1.759831e+01,2.470351e+01,4.676590e-02,1.243710e-03,2.247741e-02,4.593640e+00,1.438849e+00,6.150000e-01,3.705739e-01,7.666666e-02,1.699673e-02,-2.753403e+01,?
unknown,3.891692e+01,9.062687e-02,3.571371e+01,3.885546e+01,4.058233e+01,4.868626e+00,2.076788e+01,7.346420e+00,1.430969e+01,6.712193e+00,2.743340e-01,5.653750e-01,1.239986e-01,2.612340e-01,3.983672e-01,2.743686e-01,3.022371e+00,2.374157e+00,2.390048e+00,1.517721e+00,1.394069e-01,7.442905e-01,3.057223e+01,5.142334e-01,2.627955e+01,5.452955e-01,7.372577e+00,2.164008e+00,-1.343545e+01,-1.560700e+00,1.869176e-02,8.286765e-01,1.070724e+00,5.698751e-01,1.100331e+01,2.742852e-01,1.994378e+01,6.738850e-01,3.719005e+01,4.138561e-01,8.034468e+02,1.849798e-01,1.320427e+03,1.714652e-01,-4.920241e+01,-1.059082e+00,1.991279e+03,8.782261e-02,1.049706e+03,3.684206e-01,-6.383861e+01,-6.890657e-01,3.053021e+03,5.537722e-02,1.003032e+03,3.024448e-01,-6.439186e+01,-6.923938e-01,-2.845576e+01,-3.513747e-01,3.829877e+01,3.508565e-01,6.925577e-02,3.826771e-01,-2.566041e-02,-4.811783e-01,1.552325e-01,6.478899e-01,3.267436e+01,4.562056e-01,2.592533e+01,5.537186e-01,7.957588e+00,2.031064e+00,-1.602839e+01,-1.296634e+00,-1.759831e+01,2.470351e+01,4.676590e-02,1.243710e-03,2.247741e-02,4.593640e+00,1.438849e+00,6.150000e-01,3.705739e-01,7.666666e-02,1.699673e-02,-2.753403e+01,?
